,AdaBoost_50,_id,buy_and_hold_50,elonmusk,katyperry,teslamotors,returns
33,0.00173411653571,578200e64a72502142286c2b,-0.00301725583336,0.402421194305,0.00133122278835,0.596247582906,0.00475137236908
4,0.000971284493086,5781fdd34a72502141cf4d89,-0.00275329903217,0.899548704876,0.00230937185423,0.0981419232697,0.00372458352526
164,-2.75317709889e-05,5782105b4a725031900cd807,-0.00306580814018,0.253938803208,0.000328632988881,0.745732563803,0.00303827636919
16,-0.000886074984594,5781feed4a72502141cf4d8c,-0.00326537910303,0.703140041451,0.00596869992504,0.290891258624,0.00237930411844
162,0.000534178923187,578210244a725031900cd806,-0.00175210030876,0.28155786268,0.406864589377,0.311577547943,0.00228627923194
96,0.000131305656787,578207a84a72502143184c24,-0.00187359738267,0.321082696477,0.37699522716,0.301922076363,0.00200490303946
41,5.50646195637e-05,578201c34a72502142286c2d,-0.00194274983183,0.271041821824,0.389978216373,0.338979961803,0.00199781445139
246,0.000128268489098,578247034a72503837205c13,-0.00186947150269,0.390675503745,0.286905942775,0.32241855348,0.00199773999179
156,7.62858128401e-05,57820fb24a7250318e71fd42,-0.00190473922139,0.500932429808,0.218852016953,0.280215553239,0.00198102503423
250,3.73373411499e-05,578247704a72503837205c14,-0.00193639870085,0.0859140322507,0.224305292482,0.689780675267,0.001973736042
50,0.000285573810922,578202d84a7250214490fb05,-0.00165374145162,0.18731389438,0.278112047934,0.534574057686,0.00193931526254
247,-0.000172579223251,5782471b4a72503834a8d196,-0.00203747136341,0.248771125227,0.636122520145,0.115106354627,0.00186489214016
137,0.000253435314498,57820d984a7250318f3d8a0c,-0.00159983685751,0.268624038917,0.369728498358,0.361647462725,0.00185327217201
64,-6.71102311761e-05,578204394a72502143184c1c,-0.00191066862293,0.324800747758,0.310064186749,0.365135065493,0.00184355839175
216,0.000319507731697,578243dd4a7250383670aa39,-0.00152195429672,0.355706269154,0.456927872369,0.187365858477,0.00184146202841
127,0.000119213249374,57820c4f4a7250318d1eb126,-0.00172100426055,0.398969595594,0.438325484686,0.162704919719,0.00184021750993
114,-0.000418343558148,57820b014a725031900cd7fa,-0.00214071340402,0.0498151295955,0.255312393224,0.69487247718,0.00172236984587
39,-2.98413580699e-05,5782018e4a72502141cf4d92,-0.00174600705252,0.243842117322,0.490038307257,0.266119575421,0.00171616569445
138,-0.000100512099555,57820d984a7250318d1eb129,-0.001788174242,0.322461749104,0.0658119169182,0.611726333978,0.00168766214245
28,-0.000223851802282,578200404a72502141cf4d8f,-0.00186873729734,0.428276893906,0.479717693726,0.0920054123681,0.00164488549505
139,-8.39910801316e-05,57820d984a7250318e71fd3d,-0.00171867849196,0.188302649168,0.333902505914,0.477794844918,0.00163468741183
130,-0.000355406193735,57820cbc4a7250318e71fd3b,-0.0019845314773,0.243347911673,0.208284245512,0.548367842815,0.00162912528356
178,-0.000263158622535,578211cc4a7250318f3d8a16,-0.00188546014649,0.222004451431,0.371459851385,0.406535697185,0.00162230152396
15,-0.000266241783804,5781feed4a72502143184c10,-0.00187818863862,0.370821160521,0.344066881969,0.28511195751,0.00161194685481
153,-0.000550494427467,57820f4a4a725031900cd804,-0.00216028603758,0.377739153704,0.183817856405,0.438442989892,0.00160979161011
166,-0.000346913390526,578210874a7250318e71fd44,-0.00195547944534,0.0105480000342,0.532234272059,0.457217727907,0.00160856605482
197,-0.000252982838854,578213d94a7250318d1eb138,-0.00185960255015,0.252640716629,0.332116885771,0.415242397601,0.00160661971129
181,-0.000301285911057,578212304a7250318d1eb134,-0.00189190157061,0.0733531763574,0.561374050911,0.365272772732,0.00159061565955
134,-0.000686351027917,57820d2b4a7250318e71fd3c,-0.00226112526696,0.109429221692,0.426540962247,0.464029816061,0.00157477423905
208,-0.00043719485233,578242f74a7250383670aa37,-0.0019922096514,0.138669463029,0.294330108822,0.567000428149,0.00155501479907
51,-0.000103766888585,578202e24a72502141cf4d95,-0.00164228601887,0.228510289668,0.380258488556,0.391231221776,0.00153851913028
71,-5.0689317685e-05,5782050d4a72502141cf4d9a,-0.00158115498517,0.330516778265,0.119594795494,0.549888426241,0.00153046566748
198,-0.000642114806518,578213e44a7250318f3d8a1b,-0.00216610886164,0.0797891741125,0.628416589153,0.291794236735,0.00152399405512
151,-0.000720429124321,57820ee14a7250318f3d8a0f,-0.00222921806214,0.0694339411813,0.241815837244,0.688750221575,0.00150878893782
185,-0.000169513582244,5782129c4a7250318d1eb135,-0.00166767314092,0.342428360024,0.364478916478,0.293092723497,0.00149815955868
67,-0.000234863068788,578204a14a72502141cf4d99,-0.00171145760877,0.418994950815,0.385901785954,0.195103263231,0.00147659453998
22,-0.000339499429681,5781ffcc4a72502143184c12,-0.00180206129773,0.420953044747,0.330557593909,0.248489361343,0.00146256186805
175,-0.000593921776015,578211624a7250318e71fd46,-0.00200934295249,0.235252800706,0.514693097735,0.250054101558,0.00141542117648
150,-0.000351378476167,57820edf4a725031900cd803,-0.00176545556204,0.0627944314018,0.10171018582,0.835495382778,0.00141407708587
249,-0.000345537753899,5782476d4a72503835bf9c00,-0.0017543236324,0.427166809169,0.170306159983,0.402527030848,0.0014087858785
211,-0.000448174501709,5782432e4a72503835bf9bf6,-0.00183830880747,0.283686227209,0.46217977189,0.2541340009,0.00139013430576
239,-0.000376084233304,5782463f4a72503834a8d194,-0.00174946242465,0.299080633515,0.407656841475,0.293262525009,0.00137337819134
174,-0.000512730370368,578211614a7250318f3d8a15,-0.00183923314923,0.283116471187,0.427271971697,0.289611557116,0.00132650277887
233,-0.000646753196022,578245c04a72503835bf9bfc,-0.00193888924185,0.185702722604,0.357076938521,0.457220338876,0.00129213604583
176,-0.000642308279515,578211a24a725031900cd80a,-0.00192529847486,0.290423100459,0.183575231769,0.526001667772,0.00128299019534
146,-0.000454508190873,57820e714a725031900cd802,-0.0017270505698,0.352541853092,0.357536744502,0.289921402406,0.00127254237892
222,-0.000510008790595,5782447a4a72503837205c0d,-0.00174965325373,0.136245741686,0.18088304696,0.682871211354,0.00123964446313
207,-0.000460603860242,578242be4a72503837205c09,-0.00169339678387,0.329462350151,0.351771160657,0.318766489192,0.00123279292362
45,-0.000590123910797,578202354a72502142286c2e,-0.00182015172432,0.234880596707,0.271485667229,0.493633736063,0.00123002781352
12,-0.000526592850379,5781feb54a72502141cf4d8b,-0.00173718043809,0.277107609684,0.68159247527,0.0412999150458,0.00121058758771
163,-0.00053342229573,5782102a4a7250318f3d8a12,-0.00173490455762,0.599553715176,0.077572061922,0.322874222902,0.00120148226189
1,-0.00045168926025,5781fd954a72502141cf4d88,-0.00163949107605,0.0418613999384,0.306642337792,0.65149626227,0.0011878018158
242,-0.000693718347415,578246984a72503837205c12,-0.00188076463158,0.360891837667,0.545597270009,0.0935108923242,0.00118704628416
57,-0.000893510816258,578203854a72502142286c31,-0.00206942821368,0.0529002804522,0.0987512511149,0.848348468433,0.00117591739742
40,-0.000935195793806,578201914a72502143184c16,-0.00210504251827,0.242578095749,0.543891112704,0.213530791547,0.00116984672446
192,-0.000826066090611,578213564a725031900cd80e,-0.00198083535964,0.403754614794,0.0667254383128,0.529519946893,0.00115476926902
92,-0.000953881374305,578207404a72502143184c23,-0.00209617952139,0.144991697498,0.563957928166,0.291050374337,0.00114229814708
243,-0.000567256837888,578246b04a72503834a8d195,-0.00170635036157,0.358508443642,0.324431699289,0.317059857068,0.00113909352368
202,-0.000866517614215,5782424f4a72503837205c08,-0.00196837056358,0.353570095649,0.57944675295,0.0669831514006,0.00110185294937
219,-0.000573882089059,5782440e4a72503837205c0c,-0.00167569456665,0.0236971361177,0.717783328518,0.258519535364,0.0011018124776
18,-0.000593680279718,5781ff594a72502143184c11,-0.00169116077894,0.189192437188,0.5251078448,0.285699718012,0.00109748049923
193,-0.000990952820917,578213764a7250318d1eb137,-0.00207521201349,0.147624903518,0.643648985199,0.208726111283,0.00108425919257
56,-0.000747094459026,578203544a72502143184c1a,-0.00182471955882,0.450485330698,0.263890465355,0.285624203946,0.00107762509979
135,-0.000723103461044,57820d2c4a7250318d1eb128,-0.00179165387651,0.0431551367847,0.50008785606,0.456757007156,0.00106855041546
102,-0.00101837149243,578209b14a7250318f3d8a03,-0.00208265472039,0.639965214273,0.206922438799,0.153112346928,0.00106428322796
168,-0.000844573395713,578210c74a725031900cd808,-0.00190590421138,0.159097117595,0.368657157335,0.47224572507,0.00106133081567
172,-0.00104581035004,578211344a725031900cd809,-0.00208734897094,0.506968097742,0.380531222489,0.11250067977,0.0010415386209
183,-0.000921563014379,5782123e4a7250318e71fd48,-0.0019597247238,0.216261491309,0.360288777803,0.423449730889,0.00103816170942
48,-0.00114959208065,578202704a72502143184c18,-0.00216096574484,0.199812956407,0.135225706862,0.664961336731,0.00101137366419
244,-0.000800176433386,578246e34a7250383670aa40,-0.00180881143793,0.247456210282,0.392673194799,0.359870594919,0.00100863500455
186,-0.00122370461563,578212a74a7250318f3d8a18,-0.00223172459246,0.230045713121,0.42224295898,0.347711327899,0.00100801997684
152,-0.000935121787066,57820f484a7250318e71fd41,-0.00193126203029,0.28480738968,0.166583094466,0.548609515855,0.000996140243222
9,-0.00104877066492,5781fe7d4a7250214490fafb,-0.00203874856458,0.193432409212,0.390830014949,0.415737575839,0.000989977899662
226,-0.00110254867369,578244e74a72503834a8d191,-0.00207348688497,0.371004517958,0.450817099592,0.17817838245,0.00097093821128
209,-0.000892710068082,578243284a72503834a8d18d,-0.00186252024326,0.278256478802,0.636676749504,0.0850667716936,0.000969810175174
52,-0.000947351475146,578202e24a72502143184c19,-0.00190472443884,0.0990452192352,0.519455746616,0.381499034149,0.000957372963697
81,-0.000883390886087,5782061b4a72502142286c37,-0.00183777499007,0.385602892089,0.192759014789,0.421638093123,0.000954384103982
179,-0.000940300707508,578211d14a7250318e71fd47,-0.00186966810338,0.399050250707,0.189727047542,0.41122270175,0.000929367395877
228,-0.00120659179736,5782452a4a7250383670aa3c,-0.00212695575489,0.40441610414,0.437751712677,0.157832183183,0.000920363957535
182,-0.00116292775122,578212394a7250318f3d8a17,-0.00207975824877,0.473397715321,0.288194855449,0.238407429231,0.000916830497551
204,-0.000969608983842,578242884a7250383670aa36,-0.00188153873189,0.30026058706,0.257487123351,0.442252289589,0.000911929748053
201,-0.00104617572101,5782424d4a72503834a8d18b,-0.00194300945839,0.0710435647652,0.432931118037,0.496025317198,0.000896833737382
252,-0.00102742078436,578247b94a7250383670aa42,-0.00191605722258,0.056122252079,0.423705172041,0.52017257588,0.000888636438219
32,-0.00081377452147,578200b04a72502143184c14,-0.00170127314209,0.345129916833,0.365068546985,0.289801536183,0.000887498620619
104,-0.000815201569802,57820a1e4a7250318e71fd35,-0.00170197353293,0.434475677408,0.346008484985,0.219515837607,0.000886771963127
154,-0.000992754051421,57820f4c4a7250318d1eb12d,-0.0018756122192,0.354612645383,0.418271735874,0.227115618743,0.00088285816778
203,-0.00077729017442,578242504a72503835bf9bf4,-0.00164788562862,0.348157559069,0.337046940641,0.31479550029,0.000870595454195
